Date,Not indexed,Indexed,Impressions
2026-03-19,,,0
2026-03-20,,,0
2026-03-21,26,3,1
2026-03-22,27,3,1
2026-03-23,27,3,1
2026-03-24,27,3,0
2026-03-25,32,2,2
2026-03-26,32,2,5
2026-03-27,32,2,0
2026-03-28,32,2,2
2026-03-29,33,2,0
2026-03-30,33,2,0
2026-03-31,33,2,1
2026-04-01,39,3,0
2026-04-02,39,3,0
2026-04-03,39,3,0
2026-04-04,39,3,0
2026-04-05,39,3,1
2026-04-06,39,3,0
2026-04-07,39,3,1
2026-04-08,39,3,0
2026-04-09,39,3,3
2026-04-10,39,3,0
2026-04-11,3,3,1
2026-04-12,3,3,4
2026-04-13,3,3,2
2026-04-14,3,3,1
2026-04-15,3,3,1
2026-04-16,3,3,7
2026-04-17,3,3,18
2026-04-18,3,3,13
2026-04-19,3,3,33
2026-04-20,3,3,15
2026-04-21,3,3,1
2026-04-22,3,3,3
2026-04-23,3,3,6
2026-04-24,3,3,1
2026-04-25,3,3,5
2026-04-26,3,3,8
2026-04-27,3,3,3
2026-04-28,193,24,0
2026-04-29,193,24,6
2026-04-30,193,24,1
2026-05-01,193,24,0
2026-05-02,192,28,1
2026-05-03,192,28,1
2026-05-04,192,28,1
2026-05-05,133,89,1
2026-05-06,133,89,2
2026-05-07,133,89,5
2026-05-08,133,89,6
2026-05-09,119,138,8
2026-05-10,119,138,11
2026-05-11,119,138,11